Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
S Othello St / M L King Jr Way S,Car Fire,07/18/2012 12:06:00 AM +0000,47.537042,-122.281293,"(47.537042, -122.281293)",F120065777
Lake City Way Ne / Ne 120th St,Car Fire,07/19/2012 03:49:00 AM +0000,47.715614,-122.297401,,F120066188
11813 Beacon Av S,Car Fire,07/18/2012 10:55:00 PM +0000,47.496775,-122.261009,,F120066087
2nd Av / Blanchard St,Car Fire,07/19/2012 01:13:00 AM +0000,47.613271,-122.344353,,F120066151
Sb Sr509 At Cloverdale,Car Fire Freeway,07/19/2012 02:56:00 PM +0000,47.524046,-122.333397,,F120066288
1007 1st Av,Car Fire,07/19/2012 07:27:00 PM +0000,47.604739,-122.336278,,F120066356
41st Av Sw / Sw Alaska St,Car Fire,07/20/2012 02:27:00 AM +0000,47.561096,-122.384137,"(47.561096, -122.384137)",F120066532
Rainier Av S / S Hudson St,Car Fire,07/20/2012 10:03:00 AM +0000,47.557041,-122.28463,"(47.557041, -122.28463)",F120066657
Sb Sr99 To Wb Wsea Frwy,Car Fire Freeway,07/20/2012 07:12:00 PM +0000,47.573037,-122.339393,"(47.573037, -122.339393)",F120066789
Nb I5 At Tullys,Car Fire Freeway,07/20/2012 11:28:00 PM +0000,47.57679,-122.319476,"(47.57679, -122.319476)",F120066859
1515 Belmont Av,Car Fire,07/21/2012 01:53:00 AM +0000,47.614256,-122.32446,"(47.614256, -122.32446)",F120066922
3936 S Cloverdale St,Car Fire,07/22/2012 01:48:00 AM +0000,47.526108,-122.283325,"(47.526108, -122.283325)",F120067276
6th Av S / S Holgate St,Car Fire,07/22/2012 08:39:00 PM +0000,47.586175,-122.325975,"(47.586175, -122.325975)",F120067533
Sb I5 At 80,Car Fire Freeway,07/26/2012 12:09:00 AM +0000,47.683721,-122.322734,"(47.683721, -122.322734)",F120068708
1518 Nw 96th St,Car Fire,07/26/2012 09:33:00 PM +0000,47.698985,-122.376933,"(47.698985, -122.376933)",F120069011
2301 S Jackson St,Car Fire,07/27/2012 12:06:00 AM +0000,47.599281,-122.302222,"(47.599281, -122.302222)",F120069064
18th Av S / S Washington St,Car Fire,07/27/2012 10:24:00 PM +0000,47.600839,-122.308963,"(47.600839, -122.308963)",F120069347
1st Av Nw / N 35th St,Car Fire,07/28/2012 09:15:00 AM +0000,47.652131,-122.357665,"(47.652131, -122.357665)",F120069508
Sb I5 At Mid Boeing Field,Car Fire Freeway,07/30/2012 09:02:00 AM +0000,47.545461,-122.308073,"(47.545461, -122.308073)",F120070197
23rd Av / E Union St,Car Fire,08/07/2012 01:07:00 AM +0000,47.612941,-122.30271,"(47.612941, -122.30271)",F120073293
5220 15th Av Nw,Car Fire,07/31/2012 07:30:00 PM +0000,47.666574,-122.376218,"(47.666574, -122.376218)",F120070622
1001 Alaskan Way,Car Fire,08/02/2012 12:51:00 AM +0000,47.603781,-122.338424,"(47.603781, -122.338424)",F120071113
4448 27th Av W,Car Fire,08/02/2012 11:15:00 PM +0000,47.660768,-122.391027,"(47.660768, -122.391027)",F120071478
1038 Ne 125th St,Car Fire,08/03/2012 06:26:00 PM +0000,47.719506,-122.317371,"(47.719506, -122.317371)",F120071764
Nb I5 At Ravenna,Car Fire Freeway,08/04/2012 07:49:00 AM +0000,47.66933,-122.321692,"(47.66933, -122.321692)",F120072035
Melrose Av / E Pine St,Car Fire,08/05/2012 03:36:00 AM +0000,47.615238,-122.327904,"(47.615238, -122.327904)",F120072422
13035 Linden Av N,Car Fire,08/05/2012 08:50:00 PM +0000,47.723467,-122.348159,"(47.723467, -122.348159)",F120072715
35th Av Ne / Ne 65th St,Car Fire,08/06/2012 05:56:00 PM +0000,47.675783,-122.290273,"(47.675783, -122.290273)",F120073162
1400 E Spruce St,Car Fire,08/08/2012 02:09:00 AM +0000,47.60351,-122.31419,"(47.60351, -122.31419)",F120073682
6th Av / James St,Car Fire,08/08/2012 10:23:00 AM +0000,47.604161,-122.328079,"(47.604161, -122.328079)",F120073797
Wb Wsea Frwy At Delridge,Car Fire Freeway,08/09/2012 01:07:00 AM +0000,47.571142,-122.35688,"(47.571142, -122.35688)",F120074081
Nw 77th St / 16th Av Nw,Car Fire,08/09/2012 09:44:00 PM +0000,47.685047,-122.377863,"(47.685047, -122.377863)",F120074399
Nb I5 Exp To 42,Car Fire Freeway,08/09/2012 10:25:00 PM +0000,47.656044,-122.322371,"(47.656044, -122.322371)",F120074417
Sb I5 At 80,Car Fire Freeway,08/11/2012 12:40:00 AM +0000,47.683721,-122.322734,"(47.683721, -122.322734)",F120074855
Sb Sr99 At Seneca,Car Fire Freeway,08/11/2012 12:29:00 AM +0000,47.608541,-122.342621,"(47.608541, -122.342621)",F120074850
